date,group,subj,sex,age-yrs,agesex,type,cause,location
2010-06-13,TWS,Kolv,F,8.2,juvf,wound,,tail
2010-06-16,TWS,Dubl,M,1.3,juvm,limp,,limb
2010-06-20,GSAA,Dina,F,9.2,adf,limp,,handfoot
2010-06-23,TWS,Quac,M,8.4,adm,wound,within-group aggression,tail
2010-06-30,TWN,Quac,M,8.4,adm,wound,,tail
2010-07-04,TWS,Quil,M,6.3,juvm,limp,,limb
2010-07-06,TWS,Elle,F,12.6,adf,limp,,handfoot
2010-07-07,TWS,Bliz,M,4.3,juvm,limp,,handfoot
2010-07-14,TWS,Arte,F,10.4,adf,wound,,tail
2010-07-15,GSC,Hono,M,7.4,juvm,wound,,tail
2010-07-18,GN,Daff,F,10.6,adf,wound,,handfoot
2010-08-02,GN,Diab,M,6.5,juvm,limp,,limb
2010-08-03,TWS,Tip,M,12.5,adm,wound,,headneck
2010-08-05,TWS,Arte,F,10.5,adf,limp,,handfoot
2010-08-09,TWN,Quac,M,8.5,adm,limp,,handfoot
2010-08-12,TWS,Arte,F,10.5,adf,wound,,handfoot
2010-08-13,GN,Ding,F,20.5,adf,wound,inter-group aggression,tail
2010-08-13,TWN,Kipp,F,12.4,adf,wound,,tail
2010-08-21,TWS,Scul,M,8.5,adm,wound,,trunk
2010-08-24,TWN,Rave,F,7.6,juvf,limp,,handfoot
2010-08-24,TWN,Rave,F,7.6,juvf,wound,,headneck
2010-08-25,TWS,Bow,F,18.4,adf,wound,,headneck
2010-08-25,TWS,Buai,F,6.5,juvf,wound,,tail
2010-08-25,TWS,Elle,F,12.7,adf,limp,,limb
2010-08-27,TWS,Flet,F,22.6,adf,limp,,limb
2010-09-01,TWS,Tip,M,12.6,adm,wound,,multiple
2010-09-01,TWS,Trim,F,13.5,adf,limp,,limb
2010-09-06,GSA,More,M,1.6,juvm,wound,,headneck
2010-09-09,TWS,Oz,M,adult,adm,wound,,headneck
2010-09-13,TWS,Kwan,M,2.5,juvm,wound,,tail
2010-09-20,TWS,Blaz,F,16.6,adf,wound,,headneck
2010-09-25,TWS,Wart,M,adult,adm,wound,,headneck
2010-09-29,TWS,Flet,F,22.7,adf,limp,,handfoot
2010-10-03,TWS,Kami,F,10.5,adf,wound,,limb
2010-10-04,TWS,Sifa,F,4.7,juvf,limp,,handfoot
2010-10-07,TWS,Sava,F,6.6,juvf,wound,,handfoot
2010-10-14,GSB,Gigi,F,16.7,adf,wound,,limb
2010-11-06,TWS,KK10inf,M,0,inf,wound,,headneck
2010-11-08,TWS,Buai,F,6.7,juvf,limp,fall from tree,limb
2010-11-19,TWS,Kolv,F,8.6,juvf,wound,,trunk
2010-11-23,TWS,Tip,M,12.8,adm,wound,male-male aggression,limb
2010-11-24,TWS,Marv,M,9.4,adm,wound,male-male aggression,limb
2010-11-27,TWS,KK,F,14.9,adf,wound,,multiple
2010-11-28,TWN,Opal,F,7.7,juvf,stunned,fall from tree,
2010-12-04,GSC,Perc,M,9.8,adm,wound,,multiple
2010-12-11,TWS,KK,F,14.9,adf,limp,infanticide,handfoot
2010-12-13,alone,Squi,M,11.5,adm,wound,,headneck
2010-12-17,TWS,Elle,F,13,adf,wound,inter-group aggression,headneck
2010-12-17,TWS,Gaun,F,22.9,adf,wound,,limb
2010-12-20,alone,Squi,M,11.5,adm,wound,,headneck
2010-12-20,TWS,Trim,F,13.8,adf,wound,,headneck
2010-12-25,TWS,Bill,F,12.9,adf,limp,infanticide,handfoot
2010-12-26,TWS,Pans,F,13.4,adf,limp,,handfoot
2011-01-02,TWN,Kipp,F,12.8,adf,wound,inter-group aggression,limb
2011-01-05,alone,KL,M,24.5,adm,wound,,headneck
2011-01-08,TWS,Dixi,F,14,adf,wound,,tail
2011-01-17,TWS,Mwiz,M,14.7,adm,wound,,headneck
2011-01-18,GSB,Soft,F,15.8,adf,wound,,tail
2011-01-24,GSC,Perc,M,9.9,adm,wound,,multiple
2011-01-30,GSB,Zomb,M,10.2,adm,limp,,limb
2011-01-30,TWS,Ques,M,2.9,juvm,wound,,headneck
2011-01-31,TWN,Kipp,F,12.9,adf,wound,,headneck
2011-02-17,GSC,Hels,F,12,adf,wound,,tail
2011-02-24,TWS,Dixi,F,14.1,adf,limp,,limb
2011-02-28,TWS,Quan,F,18.1,adf,wound,,limb
2011-03-05,TWS,Marv,M,9.7,adm,limp,,handfoot
2011-03-20,GSC,Angle,F,24.1,adf,limp,,limb
2011-04-06,TWS,Gumm,F,5.1,juvf,wound,,headneck
2011-04-11,GSC,Geor,F,9.7,adf,hairless,,limb
2011-04-13,GN,Ding,F,21.2,adf,limp,,limb
2011-04-20,GSC,Perc,M,10.2,adm,limp,,limb
2011-04-21,TWS,Quan11inf,U,0.3,inf,wound,infanticide,multiple
2011-05-03,GSA,Cide,M,5.3,juvm,wound,,trunk
2011-05-10,GN,Pili,F,6.3,juvf,wound,,limb
2011-05-13,TWN,Quac,M,9.2,adm,wound,,multiple
2011-05-18,TWS,Burn,F,2.2,juvf,limp,,handfoot
